Bezeichnung / Feldgeräte,Beschreibung
ALG153B,"Ms-Vers DN15 mit IG 1/2"", 3er Set"
ALG202,Verschraubung Set Durchgangsventil DN20
ALG202B,"Ms-Vers DN20 mit IG 3/4"", 2er Set"
ALG203,Verschraubung Set 3-Weg Ventil DN20
ALG203B,"Ms-Vers DN20 mit IG 3/4"", 3er Set"
ALG252,Verschraubung Set Durchgangsventil DN25
ALG252B,"Ms-Vers DN25 mit IG 1"", 2er Set"
ALG253,Verschraubung Set 3-Weg Ventil DN25
ALG253B,"Ms-Vers DN25 mit IG 1"", 3er Set"
ALG322,Verschraubung Set Durchgangsventil DN32
ALG322B,"Ms-Vers DN32 mit IG 11/4"", 2er Set"
ALG323,Verschraubung Set 3-Weg Ventil DN32
ALG323B,"Ms-Vers DN32 mit IG 11/4"", 3er Set"
ALG402,Verschraubung Set Durchgangsventil DN40
ALG402B,"Ms-Vers DN40 mit IG 11/2"", 2er Set"
ALG403,Verschraubung Set 3-Weg Ventil DN40
ALG403B,"Ms-Vers DN40 mit IG 11/2"", 3er Set"
ALG502,Verschraubung Set Durchgangsventil DN50
ALG502B,"Ms-Vers DN50 mit IG 2"", 2er Set"
ALG503,Verschraubung Set 3-Weg Ventil DN50
ALG503B,"Ms-Vers DN50 mit IG 2"", 3er Set"
ALG80WRI,Einbauset für WRV81/84-Ersatz
ALG80WRI-CH,"Einbauset für WRV8..-Ersatz,110 mm Zähler"
ALG83WRI,Einbauset für WRV83-Ersatz
ALI10VWG41,"Isolationsschale für VWG41.., DN10"
ALI15VAG60/61,"Isolationsschale 2-Weg-Kugelhahn,AG,DN15"
ALI15VAI60/61,"Isolationsschale 2-Weg-Kugelhahn,IG,DN15"
ALI15VBG60/61,"Isolationsschale 3-Weg-Kugelhahn,AG,DN15"
ALI15VBI60/61,"Isolationsschale 3-Weg-Kugelhahn,IG,DN15"
ALI20VAG60/61,"Isolationsschale 3-Weg-Kugelhahn,AG,DN20"
ALI20VAI60/61,"Isolationsschale 2-Weg-Kugelhahn,IG,DN20"
ALI20VBG60/61,"Isolationsschale 3-Weg-Kugelhahn,AG,DN20"
ALI20VBI60,"Isolationsschale 3-Weg-Kugelhahn,IG,DN20"
ALI20VBI61,"Isolationsschale 3-Weg-Kugelhahn,IG,DN20"
ALI20VWG41,Isolationsschale für VWG41..
ALI25VAG60/61,"Isolationsschale 2-Weg-Kugelhahn,AG,DN25"
ALI25VAI60/61,"Isolationsschale 2-Weg-Kugelhahn,IG,DN25"
ALI25VBG60/61,"Isolationsschale 3-Weg-Kugelhahn,AG,DN25"
ALI25VBI60/61,"Isolationsschale 3-Weg-Kugelhahn,IG,DN25"
ALI32VAG60/61,"Isolationsschale 2-Weg-Kugelhahn,AG,DN32"
ALI32VAI60/61,"Isolationsschale 2-Weg-Kugelhahn,IG,DN32"
ALI32VBG60/61,"Isolationsschale 3-Weg-Kugelhahn,AG,DN32"
ALI32VBI60/61,"Isolationsschale 3-Weg-Kugelhahn,IG,DN32"
ALI40VAG60/61,"Isolationsschale 2-Weg-Kugelhahn,AG,DN40"
ALI40VAI60/61,"Isolationsschale 2-Weg-Kugelhahn,IG,DN40"
ALI40VBG60/61,"Isolationsschale 3-Weg-Kugelhahn,AG,DN40"
ALI40VBI60/61,"Isolationsschale 3-Weg-Kugelhahn,IG,DN40"
ALI50VAG60/61,"Isolationsschale 2-Weg-Kugelhahn,AG,DN50"
ALI50VAI60/61,"Isolationsschale 2-Weg-Kugelhahn,IG,DN50"
ALI50VBG60/61,"Isolationsschale 3-Weg-Kugelhahn,AG,DN50"
ALI50VBI60/61,"Isolationsschale 3-Weg-Kugelhahn,IG,DN50"
ALN15.152B,"Verschraubungs-Set, 2x G1B, G1B"
ALN15.202B,"Verschraubungs-Set, 2x G1B, G3/4B"
ALP46,Verschlusstopfen zu VPI/VPP..Q
ALP47,Ablasskugelhahn zu VPI/VPP..Q
ALP48,Komb.PT / Ablasskugelhahn zu VPI/VPP..Q
ALP49,Langer PT-Anschl.2Stk zu VPI/VPP..Q
ALS152,"Schweissverschraubung G3/4"""
ALS202,"Schweissverschraubung G1"""
ALS252,Schweissverschraubung G5/4
ALT-AB200,Gelöchertes Schutzrohr 200 mm RAK-TW.5000
ALT-AB200,Gelöchertes Schutzrohr 200 mm RAK-TW.5000
ALT-C001,Montagezubehör zu RAK...
ALT-DB150J,"Doppelschutzrohr, Ms.vernickelt, 150 mm,"
ALT-DB280J,"Doppelschutzrohr,Ms. vernickelt,280 mm,"
ALT-DB450J,"Doppelschutzrohr,Ms. vern.,450 mm,2x7"
ALT-DS100J,"Schutzrohr, CrNi,d=15 mm,L100,PN16 für RA"
ALT-DS150J,"Doppelschutzrohr, CrNi,di15 mm,L150,PN16"
ALT-DS280J,"Doppelschutzrohr, CrNi,d=15 mm,280 mm,PN16"
ALT-DS450J,"Doppelschutzrohr, CrNi,LW15, L450 mm,PN16"
ALT-SB100,"Schutzrohr, Ms,vern, LW7 mm, 100 mm, PN10"
ALT-SB100,"Schutzrohr, Ms,vern, LW7 mm, 100 mm, PN10"
ALT-SB150,"Schutzrohr, Ms,vern, LW7 mm, 150 mm, PN10"
ALT-SB150,"Schutzrohr, Ms,vern, LW7 mm, 150 mm, PN10"
ALT-SB200,"Schutzrohr, Ms,vern, LW7 mm, 200 mm, PN10"
ALT-SB280,"Schutzrohr, Ms,vern, LW7 mm, 280 mm, PN10"
ALT-SS100,"Schutzrohr, CrNi, LW7 mm, 100 mm, PN16"
ALT-SS100,"Schutzrohr, CrNi, LW7 mm, 100 mm, PN16"
ALT-SS150,"Schutzrohr, CrNi, LW7 mm, 150 mm, PN16"
ALT-SS150,"Schutzrohr, CrNi, LW7 mm, 150 mm, PN16"
ALT-SS280,"Schutzrohr, CrNi, LW7 mm, 280 mm, PN16"
ALT-SS450,"Schutzrohr, CrNi, LW7 mm, 450 mm, PN16"
ALT-SSF100,"Schutzrohr, CrNi, LW7, 100 mm, PN40, FL"
ALT-SSF100,"Schutzrohr, CrNi, LW7, 100 mm, PN40, FL"
ALT-SSF150,"Schutzrohr, CrNi, LW7, 150 mm, PN40, FL"
ALT-SSF150,"Schutzrohr, CrNi, LW7, 150 mm, PN40, FL"
ALT-SSF200,"Schutzrohr, CrNi, LW7, 200 mm, PN40, FL"
ALT-SSF280,"Schutzrohr, CrNi, LW7, 280 mm, PN40, FL"
ALT-SSF450,"Schutzrohr, CrNi, LW7, 450 mm, PN40, FL"
ALT-SSF600,"Schutzrohr, CrNi, LW7, 600 mm, PN40, FL"
APG-10,"Aufputzgehäuse für luna10, schwarz"
APG-16,"Aufputzgehäuse für luna16, schwarz"
AQB2000,Montagebügel für QBM2../3..
AQB2001,Anschluss Set für Montage QBE2X03..
AQB2002,Anschluss Set für Montage QBE..
AQB2004,Montagebügel für QBE2x03..
AQE2102,Klemmringverschraubung G1/2''
AQF3100,Strahlungsschutz zu Aussenfeuchtefühler
AQF3101,Filterkappen für Feuchtefühler
AQF3101,Filterkappen für Feuchtefühler
AQF3150,Messspitze zu QFA31../QFM31..
AQF3150,Messspitze zu QFA31../QFM31..
AQF3153,Service-Set für Loop-Test
AQF4150,Auswechselbare Messspitze mit Zertifikat
AQF4150,Auswechselbare Messspitze mit Zertifikat
AQM63.0,Montageflansch zu QAF63/64 / QAM..
AQM63.0,Montageflansch zu QAF63/64 / QAM..
AQM63.0,Montageflansch zu QAF63/64 / QAM..
AQM63.2,Kapillarrohrhalterungen 3er Set zu QAF
AQM63.2,Kapillarrohrhalterungen 3er Set zu QAF
AQM63.3,Kapillarrohrhalterungen 6er Set zu QAF
AQM63.3,Kapillarrohrhalterungen 6er Set zu QAF
AQR2500K31A/AR52,Raumfühler UP °C/ Ni-1000/AR52
AQR2500K31A/CH,Raumfühler UP °C/ Ni-1000/CH
AQR2500NF,Raumfühler UP Montageplatte
AQR2510NFW,Rahmen Delta line titanweiss
AQR2510NHW,Rahmen Delta miro titanweiss
AQR2540K32/AR52,Raumfühler UP °C/ Aktiv/AR52
AQR2540K32/CH,Raumfühler UP °C/ Aktiv/CH
AQR2540K34A/AR52,Raumfühler UP %rF/°C/Aktiv/Ni-1000/AR52
AQR2540K34A/CH,Raumfühler UP %rF/°C/Aktiv/Ni-1000/CH
AQR2540K35/AR52,Raumfühler UP %rF/°C/ Aktiv/AR52
AQR2540K35/CH,Raumfühler UP %rF/°C/ Aktiv/CH
AQR2540NF,S55720-S142 /AQR2540NF Unterputzfühler B
AQR2540NF/AR52,ZZT:AQR2540NF/AR52 /RAUMFÜHLER UP BASIS
AQR2546K30/AR52,Raumfühler UP CO2/AR52
AQR2546K30/CH,Raumfühler UP CO2/CH
AQR2546K32/AR52,Raumfühler UP CO2/°C/ Aktiv/AR52
AQR2546K32/AR52,Raumfühler UP CO2/°C/ Aktiv/AR52
AQR2546K32/CH,Raumfühler UP CO2/°C/ Aktiv/CH
AQR2546K34A/AR52,Raumfühl UP CO2/%rF/°C/Aktiv/Ni1000/AR52
AQR2546K34A/CH,Raumfühler UP CO2/%rF/°C/Aktiv/Ni1000/CH
AQR2546K35/AR52,Raumfühler UP CO2/%rF/°C/ Aktiv/AR52
AQR2546K35/CH,Raumfühler UP CO2/%rF/°C/ Aktiv/CH
AQR2546K35Q/AR52,Raumfühler UP CO2/%rF/°C/Aktiv/LED/AR52
AQR2546K35Q/CH,Raumfühler UP CO2/%rF/°C/Aktiv/LED/CH
AQR2547K30/CH,Raumfühler UP VOC/CH
AQR2547K32/CH,Raumfühler UP VOC/°C/ Aktiv/CH
AQR2547K34A/CH,Raumfühler UP VOC/%rF/°C/Aktiv/Ni1000/CH
AQR2547K35/CH,Raumfühler UP VOC/%rF/°C/ Aktiv/CH
AQR2548K30/AR52,Raumfühler UP IAQ/AR52
AQR2548K30/CH,Raumfühler UP IAQ/CH
AQR2548K32/AR52,Raumfühler UP IAQ/°C/ Aktiv/AR52
AQR2548K32/CH,Raumfühler UP IAQ/°C/ Aktiv/CH
AQR2548K34A/AR52,Raumfühl UP IAQ/%rF/°C/Aktiv/Ni1000/AR52
AQR2548K34A/CH,Raumfühler UP IAQ/%rF/°C/Aktiv/Ni1000/CH
AQR2548K35/AR52,Raumfühler UP IAQ/%rF/°C/ Aktiv/AR52
AQR2548K35/CH,Raumfühler UP IAQ/%rF/°C/ Aktiv/CH
AQR2548K35Q/AR52,Raumfühler UP IAQ/%rF/°C/Aktiv/LED/AR52
AQR2548K35Q/CH,Raumfühler UP IAQ/%rF/°C/Aktiv/LED/CH
AQR2548NF,S55720-S148 /AQR2548NF Unterputzfühler H
AQR2570K32/AR52,Raumfühler UP °C/AR52 KNX
AQR2570K32/AR52,Raumfühler UP °C/AR52 KNX
AQR2570K32/CH,Raumfühler UP °C/CH KNX
AQR2570K32/CH,Raumfühler UP °C/CH KNX
AQR2570K35/AR52,Raumfühler UP %rF/ °C/ AR52 KNX
AQR2570K35/AR52,Raumfühler UP %rF/ °C/ AR52 KNX
AQR2570K35/CH,Raumfühler UP %rF/ °C/ CH KNX
AQR2570K35/CH,Raumfühler UP %rF/ °C/ CH KNX
AQR2576K30/AR52,Raumfühler UP CO2/ AR52 KNX
AQR2576K30/AR52,Raumfühler UP CO2/ AR52 KNX
AQR2576K30/CH,Raumfühler UP CO2/ CH KNX
AQR2576K30/CH,Raumfühler UP CO2/ CH KNX
AQR2576K32/AR52,Raumfühler UPCO2/ °C/ AR52 KNX
AQR2576K32/AR52,Raumfühler UPCO2/ °C/ AR52 KNX
AQR2576K32/CH,Raumfühler UPCO2/ °C/ CH KNX
AQR2576K32/CH,Raumfühler UPCO2/ °C/ CH KNX
AQR2576K35/AR52,Raumfühler UP CO2/ %rF/ °C/ AR52 KNX
AQR2576K35/AR52,Raumfühler UP CO2/ %rF/ °C/ AR52 KNX
AQR2576K35/CH,Raumfühler UP CO2/ %rF/ °C/ CH KNX
AQR2576K35/CH,Raumfühler UP CO2/ %rF/ °C/ CH KNX
AQR2576K35Q/AR52,Raumfühler UP CO2/ %rF/ °C/ LED/AR52 KNX
AQR2576K35Q/AR52,Raumfühler UP CO2/ %rF/ °C/ LED/AR52 KNX
AQR2576K35Q/CH,Raumfühler UP CO2/ %rF/ °C/ LED/ CH KNX
AQR2576K35Q/CH,Raumfühler UP CO2/ %rF/ °C/ LED/ CH KNX
AQR9510NFW,AQR9510NFW Designframe_CH
AQR9510NNW,Adapter zu Abdeckrahmen 60x60 mm
AQS2700,"Sensormodul für Ersatz, PM2.5/ PM10"
AR52,Aufnahmering mit Befestigungsdist. 52 mm
AR52,Aufnahmering mit Befestigungsdist. 52 mm
AR52,Aufnahmering mit Befestigungsdist. 52 mm
AR52,Aufnahmering mit Befestigungsdist. 52 mm
ARG22.1,Changeover Bausatz zu QAP22
ARG22.2,Alu-Leistenbefestigung für Kabelfühler
ARG62.201,Fronteinbaurahmen für Synco 200-Regler
ARG70.3,"AP Montageplatte für RDU, RDF"
ARP238777,"Spezial-Kabel gekreuzt,grau 1.5m,"
ARP238778,"Spezial-Kabel gekreuzt,grau 3m"
ARP238779,"Spezial-Kabel gekreuzt,grau 5m,"
ARP926086,USB SERIELL ADAPTER PXC
AS-1,Lizenz AS-1 zusätzlicher Motor
AS-1-SUR,P54594-P101-B300-Z /Annual Shading - 1 z
ASA23U10,"Anschlusskabel 1 m, Hilfsschalter zu STA"
AS-B,Lizenz AS-Basis mit 100 Motoren
AS-B-SUR,P54594-P101-B100-Z /Annual Shading - Bas
ASC1.6,"Hilfsschalter zu SKD6, SKB6, SKC6"
ASC10.42,Hilfsschalter-Paar zu SQV91
ASC10.51,"Hilfsschalter zu SA..31, SA..61, SA..81"
ASC2.1/18,"Hilfsschalter zu SFA, SFP"
ASC36,Hilfsschalterpaar zu SQL36E
ASC77.1E,Extern. Hilfsschalterbaugruppe 1Schalter
ASC77.2E,Extern. Hilfsschalterbaugruppe 2Schalter
ASC9.3,Hilfsschalterpaar zu SKB/C/D32../82..
ASE1,"Austauschelektr. zu MXG/MXF461,DN15-32"
ASE12,Austauschelektronik zu MXG461B/MVF461H
ASE2,"Austauschelektr. zu MXG/MXF461,DN40-65"
AS-H,Lizenz pro redundant. Verschattungsrechn
AS-H-SUR,P54594-P101-B202-Z /Annual Shading - hoh
ASK30,Adapter für Ventile mit 55 mm Spindel
ASK30,Adapter für Ventile mit 55 mm Spindel
ASK31N,Montagesatz für SAL.. auf VBF21
ASK31N,Montagesatz für SAL.. auf VBF21
ASK32N,Montagesatz SAL..T10 auf Hähne DN20..50
ASK32N,Montagesatz SAL..T10 auf Hähne DN20..50
ASK33N,Montagesatz für SAL.. auf VKF41
ASK35N,Montagesatz für SAL.. auf VKF45
ASK39.1,"Wetterschutzhaube für SAX, SAV, SAL"
ASK39.1,"Wetterschutzhaube für SAX, SAV, SAL"
ASK39.2,Wetterschutzhaube für SAS..
ASK39.2,Wetterschutzhaube für SAS..
ASK46.1,Rasterhebel zu VKF46 für DN40...65
ASK46.2,Rasterhebel zu VKF46 für DN80...125
ASK46.3,Rasterhebel zu VKF46 für DN150...200
ASK46.4,Rasterhebel zu VKF46 für DN250...400
ASK50,Hubumkehr mechanisch zu SKD..
ASK51,Hubumkehr mechanisch zu SKB..
ASK55.2,Mitnehmer für Gestängeachsen 5…8 mm
ASK71.01,"S55859-Z101 /ASK71.01 Zubehör-Set 1, Sma"
ASK71.02,"S55859-Z102 /ASK71.02 Zubehör-Set 1, Med"
ASK71.1,"Dreh/Linearaufbausatz zu GCA, GIB...1E"
ASK71.11,"Dreh-/Linearaufbausatz zu GMA,GEB...1E"
ASK71.13,"Dreh / Linearaufbausatz GMA, GEB...1E"
ASK71.14,"Dreh / Linearaufbausatz GMA, GEB...1E"
ASK71.2,Dreh-/Linearaufbausatz zu GCA / GIB...1E
ASK71.3,Dreh-/Linearaufbausatz zu GCA / GIB...1E
ASK71.4,Dreh-/Linearaufbausatz zu GCA / GIB...1E
ASK71.5,"Dreh/Linearaufbausatz zu GLB, GDB"
ASK71.6,Dreh-/Linearaufbausatz zu GLB...1E
ASK71.9,"Universalhebel zu GEB, GMA"
ASK73.1,"Verdrehsicherung für Powerpack GCA,GIB"
ASK73.2,Flexible Verdrehsicherung für Powerpack
ASK73.3,"Verdrehsicherung für Powerpack GEB,GMA"
ASK74.1,"Spezial-Achsadapter zu GCA..,GIB…"
ASK74.7,"Achsverlaengerung GEB, GIB"
ASK75.1,Wetterschutzhaube für Drehantrieb GIB
ASK75.3,Wetterschutzhaube für Drehantrieb GEB
ASK75.4,"Wetterschutzhaube für Drehantrieb GIB,GB"
ASK75.5,Wetterschutz für Dreh-/Linearantrieb
ASK75.6,Wetterschutz für Dreh-/Linearantrieb
ASK77.2,Montagesatz für GMA auf VAI61/VBI61
ASK77.2,Montagesatz für GMA auf VAI61/VBI61
ASK77.3,Montagesatz für GLB/GDB auf VAI61/VBI61
ASK77.3,Montagesatz für GLB/GDB auf VAI61/VBI61
ASK77.5,S55845-Z199 /ASK77.5 Accessoir kit für B
ASK77.5,S55845-Z199 /ASK77.5 Accessoir kit für B
ASK78.12,"Zentriereinsatz, rund, D-Prof.12x9"
ASK78.3,"Einlegeteil zu GDB, GLB"
ASK78.6,"Zentriereinsatz, 4kt-Profil 8 mm"
ASK78.7,"Zentriereinsatz, 4kt-Profil 10 mm"
ASP1.1,Spannungsversorgung AC230V zu SQV91P..
ASP23U10,"Anschlusskabel 1 m, Hilfsschalter zu STP"
AS-R,Lizenz AS-spiegelnde Reflektion
ASR0.16N,"Vent.-Einsatz MVS661, kvs0.16"
ASR0.4N,"Vent.-Einsatz MVS661, kvs0.4"
ASR1.0N,"Vent.-Einsatz MVS661, kvs1.0"
ASR2.5N,"Vent.-Einsatz MVS661, kvs2.5"
ASR6.3N,"Vent.-Einsatz MVS661, kvs6.3"
ASR61,"Austauschelektronik zu MVL661, MVF661"
ASR61EX,"Austauschelektronik zu MVL661, MVS661,Ex"
AS-R-SUR,P54594-P101-B201-Z /Annual Shading - spi
AS-S,Lizenz AS-Simulations-Tool für Kunden
AS-S-SUR,P54594-P101-B102-Z /Annual Shading - Sim
AS-T,Lizenz AS-Engineering-Tool pro Jahr
AST20,VAV Handbediengerät zu GLB… GDB..
AST22,S55499-D373 /AST22 Schnittstellenkonv. U
AS-U,Lizenz für unlimitierter Anzahl Motoren
AS-U-SUR,P54594-P101-B101-Z /Annual Shading - Bas
ASV181.1E/3,VVS-Modularer Volumenstromregler
ASY100,"Klemmenblock 24V, 0-10V"
ASY23L100,Kabel 10 m
ASY23L100HF,"Kabel 10 m, halogenfrei"
ASY23L150,Kabel 15 m
ASY23L20,Kabel 2 m
ASY23L20HF,"Kabel 2 m, halogenfrei"
ASY23L20LD,"Kabel 2 m, LED"
ASY23L50,Kabel 5 m
ASY3L25,"Anschlusskabel 230V, 3-Punkt, 2.5m"
ASY3L45,"Anschlusskabel 230V, 3-Punkt, 4.5m"
ASY6AL20,"Anschlusskabel 24V,0-10V,2m"
ASY6AL20HF,"Anschlusskabel 24V,0-10V,2m,halogenfrei"
ASY6L25,"Anschlusskabel 24V,0-10V , 2.5m"
ASY6L45,"Anschlusskabel 24V, 0-10V, 4.5m"
ASY6L45HF,"Anschlusskabel 24V, 0-10V, halogenfrei"
ASY6PL20,"Anschlusskabel 24V,0-10V,2m"
ASY6PL20HF,"Anschlusskabel 24V,0-10V,2m,halogenfrei"
ASY8L45,"Anschlusskabel 24V, 3-Punkt, 4.5m"
ASY8L45HF,"Anschlusskabel 24V, 3-Punkt, halogenfrei"
ASY98,Sicherungsschraube
ASY99,"Klemmenblock 24V, 3-Punkt"
ASZ36,Potentiometer 1000 Ohm zu SQL36E..
ASZ6.6,"Stösselheizung AC 24V, 30W"
ASZ7.3,"Potentiometer,1000 Ohm zu SKB/C/D32/82"
ASZ7.31,"Potentiometer,135 Ohm zu SKB/C/D32/82"
ASZ7.32,"Potentiometer,200 Ohm zu SKB/C/D32/82"
ASZ7.5/1000,"Potentiometer,1000 Ohm, zu SAX31, SAX81"
ASZ7.5/1000,"Potentiometer,1000 Ohm, zu SAX31, SAX81"
ASZ7.6/1000,Potentiometer 1000 Ohm zu SQV91
ASZ7.6/1000,Potentiometer 1000 Ohm zu SQV91
ATFS705L,Switch 10/100 5-Port (kein Rack-Einbau)
ATFS724L,Switch 10/100 24-Port (Rack-Einbau)
ATN4,Handrad weiss für VDN/VEN/VUN
AUZ3.7,Analoge Wochenschaltuhr
AUZ3.7,Analoge Wochenschaltuhr
AV301,"Adapter zu Ventil M30x1,5"
AV302,"Adapter zu Ventil M28x1,5 Herz, Comap"
AV303,Adapter zu Ventil M30x1 TA
AV304,Adapterset für Diverse 5 Stk.
AV305,"Standard-Bajonettadapter, 10 Stk,M30x1,5"
AV305,"Standard-Bajonettadapter, 10 Stk,M30x1,5"
AV52,Adapter Comap
AV53,Adapter Danfoss RA-2000
AV54,Adapter Danfoss RAVL
AV55,Adapter Danfoss RAV
AV56,Adapter Giacomini
AV57,Adapter Herz
AV58,Adapter M30x1.5 auf Oventrop M30x1
AV59,Adapter Vaillant
AV60,Adapter TA
AV61,Adapter Markaryd
AV63,Adapter zu Giacomini
AV64,"Adapter zu Ventil M28x1,5 Pettinarolie"
AV-SSA-OV,Zwischenring für SSA... auf Oventrop
AV-SSA-OV,Zwischenring für SSA... auf Oventrop
AZX61.1,Funktionsmodul/Wirksinnumschaltung
BACNET-OPC SERVER,BACnet-OPC Server
BAU200,Digitale Universal-Einzelanzeige
BB PUR100-150,Beschichtung zu Flanschventil DN100-150
BB PUR15-40,Beschichtung zu Flanschventilen DN15-40
BB PUR50-80,Beschichtung zu Flanschventilen DN50-80
BB-RPS-MO4-M,BB-RPS-MO4-M
BG6:SOL-B-CP-AP-A1,Package G: Unigyr Klein
BG6:SOL-B-CP-AP-A2,Package H: Unigyr medium
BG6:SOL-B-CP-AP-A3,Package I: Unigyr Gross
BG6:SOL-B-CP-AP-A4,Package J: Visonik Klein
BG6:SOL-B-CP-AP-A5,Package K: Visonik medium
BG6:SOL-B-CP-AP-A6,Package L: Visonik Gross
BG6:SOL-B-MS-PP-A1,BG6:SOL-B-MS-PP-A1 /Package A:(Project i
BG6:SOL-B-MS-PP-A2,BG6:SOL-B-MS-PP-A2 /Pack.B:(10 Graphics)
BG6:SOL-B-MS-PP-A4,BG6:SOL-B-MS-PP-A4 /Pack.D:(300 Graphics
B-KOPPL.(BTM)117,"B-koppl.(BTM)117/12,60x60ADAPT, AR52"
BSG21.1,Sollwertgeber mit 0...1000 Ohm
BSG21.5,"Sollwertschieber -3...+3 K, LG-Ni1000"
BSG61,"Sollwertgeber aktiv, mit div. Skalen"
CAU.04,ADP CC V4 SOFTWARE UNITS
CCA-100000-BA,Lizenz für 100000 BA Punkte
CCA-100000-BA-PSM,Lizenz für 100000 BACnet Punkte PSM
CCA-100000-BA-SSM,Lizenz für 100000 BACnet Punkte SSM
CCA-100000-VAL,CCA-100000-VAL
CCA-100000-VAL-PSM,CCA-100000-VAL-PSM
CCA-100000-VAL-SSM,CCA-100000-VAL-SSM
CCA-10000-BA,Lizenz für 10000 BA Punkte
CCA-10000-BA-PSM,Lizenz für 10000 BACnet Punkte PSM
CCA-10000-BA-SSM,Lizenz für 10000 BACnet Punkte SSM
CCA-10000-FIRE,Lizenz für 10000 Fire Punkte
CCA-10000-FIRE-PSM,Lizenz für 10000 Fire Punkte PSM
CCA-10000-FIRE-SSM,Lizenz für 10000 Fire Punkte SSM
CCA-10000-VAL,CCA-10000-VAL
CCA-10000-VAL-PSM,CCA-10000-VAL-PSM
CCA-10000-VAL-SSM,CCA-10000-VAL-SSM
CCA-100-BA,Lizenz für 100 BA Punkte
CCA-100-BA-PSM,Lizenz für 100 BACnet Punkte PSM
CCA-100-BA-SSM,Lizenz für 100 BACnet Punkte SSM
CCA-100-FIRE,Lizenze für 100 Fire Punkte
CCA-100-FIRE-PSM,Lizenz für 100 Fire Punkte PSM
CCA-100-FIRE-SSM,Lizenz für 100 Fire Punkte SSM
CCA-100-SCADA,Lizenz für 100 integration Punkte
CCA-100-SCADA-PSM,Lizenz für 100 integration Punkte PSM
CCA-100-SCADA-SSM,Lizenz für 100 integration Punkte SSM
CCA-100-SEC,Lizenz für 100 Security Punkte
CCA-100-SEC-PSM,Lizenz für 100 Security Punkte PSM
CCA-100-SEC-SSM,Lizenz für 100 Security Punkte PSM
CCA-100-VALID,Lizenz für 100 validierte Objekte
CCA-100-VALID-PSM,Lizenz für 100 validierte Objekte PSM
CCA-100-VALID-SSM,Lizenz für 100 Security Punkte SSM
CCA-10-METER,CCA-10-METER CC add 10
CCA-10-METER-PSM,CCA-10-METER CC add 10 PSM
CCA-10-METER-SSM,CCA-10-METER CC add 10 SSM
CCA-1-ARCHGRP,Lizenz für 1 benutzerspez. Archivgr.
CCA-1-ARCHGRP-PSM,Lizenz für 1 benutzerspez. Archivgr. PSM
CCA-1-ARCHGRP-SSM,Lizenz für 1 benutzerspez. Archivgr. SSM
CCA-1-CL,Lizenz für einen zusätzlichen Client
CCA-1-CL-PSM,Lizenz für einen zusätzlichen Client PSM
CCA-1-CL-SSM,Lizenz für einen zusätzlichen Client SUS
CCA-1-INT-TK,CCA-1-INT-TK
CCA-1-SUR-UNIT,Desigo CC Lizenz Erneuerung
CCA-1-SUS-UNIT,Desigo CC Lizenz Abo
CCA-30000-BA,Lizenz für 30000 BA Punkte
CCA-30000-BA-PSM,Lizenz für 30000 BACnet Punkte PSM
CCA-30000-BA-SSM,Lizenz für 30000 BACnet Punkte SSM
CCA-30000-VAL,CCA-30000-VAL
CCA-30000-VAL-PSM,CCA-30000-VAL-PSM
CCA-30000-VAL-SSM,CCA-30000-VAL-SSM
CCA-5000-BA,Lizenz für 5000 BA Punkte
CCA-5000-BA-PSM,Lizenz für 5000 BACnet Punkte PSM
CCA-5000-BA-SSM,Lizenz für 5000 BACnet Punkte SSM
CCA-5000-FIRE,Lizenze für 5000 Fire Punkte
CCA-5000-FIRE-PSM,Lizenz für 5000 Fire Punkte PSM
CCA-5000-FIRE-SSM,Lizenze für 5000 Fire Punkte SSM
CCA-5000-SCADA,CCA-5000-SCADA CC
CCA-5000-SCADA-PSM,CCA-5000-SCADA-PSM
CCA-5000-SCADA-SSM,CCA-5000-SCADA-SSM
CCA-5000-VAL,CCA-5000-VAL
CCA-5000-VAL-PSM,CCA-5000-VAL-PSM
CCA-5000-VAL-SSM,CCA-5000-VAL-SSM
CCA-500-BA,Lizenz für 500 BA Punkte
CCA-500-BA-PSM,Lizenz für 500 BA Punkte PSM
CCA-500-BA-SSM,Lizenz für 500 BA Punkte SSM
CCA-500-FIRE,Lizenz für 500 Fire Punkte
CCA-500-FIRE-PSM,Lizenz für 500 Fire Punkte PSM
CCA-500-FIRE-SSM,Lizenz für 500 Fire Punkte SSM
CCA-500-SCADA,Lizenz für 500 integration Punkte
CCA-500-SCADA-PSM,Lizenz für 500 integration Punkte PSM
CCA-500-SCADA-SSM,Lizenz für 500 integration Punkte SSM
CCA-500-SEC,Lizenz für 500 Security Punkte
CCA-500-SEC-PSM,Lizenz für 500 Security Punkte PSM
CCA-500-SEC-SSM,Lizenz für 500 Security Punkte SSM
CCA-500-VAL,CCA-500-VAL CC add 500
CCA-500-VAL-PSM,CCA-500-VAL-PSM
CCA-500-VAL-SSM,CCA-500-VAL-SSM
CCA-6-SEC,Lizenz für 6 Security Punkte
CCA-6-SEC-PSM,Lizenz für 6 Security Punkte PSM
CCA-6-SEC-SSM,Lizenz für 6 Security Punkte PSM
CCA-AC-128EXTD,CCA-AC-128EXTD 128
CCA-AC-128EXTD-PSM,CCA-AC-128EXTD-PSM
CCA-AC-128EXTD-SSM,CCA-AC-128EXTD-SSM
